"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 12","6,445.76","6,395.17","6,446.55","6,385.76","","1.13%"
"2025- 08- 11","6,373.45","6,389.67","6,407.25","6,364.06","","-0.25%"
"2025- 08- 08","6,389.45","6,355.22","6,395.16","6,355.22","","0.78%"
"2025- 08- 07","6,340.00","6,374.32","6,389.71","6,310.32","","-0.08%"
"2025- 08- 06","6,345.06","6,309.30","6,352.83","6,301.11","","0.73%"
"2025- 08- 05","6,299.19","6,336.63","6,346.00","6,289.37","","-0.49%"
"2025- 08- 04","6,329.94","6,271.71","6,330.69","6,271.71","","1.47%"
"2025- 08- 01","6,238.01","6,287.28","6,287.28","6,212.69","","-1.60%"
"2025- 07- 31","6,339.39","6,427.02","6,427.02","6,327.64","","-0.37%"
"2025- 07- 30","6,362.90","6,381.23","6,396.54","6,336.38","","-0.12%"
"2025- 07- 29","6,370.86","6,405.62","6,409.26","6,363.92","","-0.30%"
"2025- 07- 28","6,389.77","6,397.69","6,401.07","6,375.79","","0.02%"
"2025- 07- 25","6,388.64","6,370.01","6,395.82","6,368.53","","0.40%"
"2025- 07- 24","6,363.35","6,368.60","6,381.31","6,360.57","","0.07%"
"2025- 07- 23","6,358.91","6,326.90","6,360.64","6,317.49","","0.78%"
"2025- 07- 22","6,309.62","6,306.60","6,316.12","6,281.71","","0.06%"
"2025- 07- 21","6,305.60","6,304.74","6,336.08","6,303.79","","0.14%"
"2025- 07- 18","6,296.79","6,312.95","6,315.61","6,285.27","","-0.01%"
"2025- 07- 17","6,297.36","6,263.40","6,304.69","6,262.27","","0.54%"
"2025- 07- 16","6,263.70","6,254.50","6,268.12","6,201.59","","0.32%"
"2025- 07- 15","6,243.76","6,295.29","6,302.04","6,241.68","","-0.40%"
"2025- 07- 14","6,268.56","6,255.15","6,273.31","6,239.22","","0.14%"
